Marque,Modèle,Trim,Année,Consumer Cash,Bonus Cash,Opt1 36m,Opt1 48m,Opt1 60m,Opt1 72m,Opt1 84m,Opt1 96m,Opt2 36m,Opt2 48m,Opt2 60m,Opt2 72m,Opt2 84m,Opt2 96m
Chrysler,Grand Caravan,SXT,2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,1.99,3.49
Chrysler,Pacifica,PHEV,2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,1.99,3.49
Chrysler,Pacifica,(excluding PHEV),2026,0.0,0.0,0.0,0.0,0.0,0.0,1.99,3.49,,,,,,
Chrysler,Grand Caravan,SXT,2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.49,2.99
Chrysler,Pacifica,Hybrid,2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,1.99,2.99,3.99,4.99
Chrysler,Pacifica,Select Models (excl. Hybrid),2025,0.0,1000.0,0.0,0.0,1.99,2.99,3.99,4.99,0.0,0.0,0.0,0.0,1.49,2.49
Chrysler,Pacifica,(excl. Select & Hybrid),2025,750.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.49,2.49
Dodge,Charger,2-Door & 4-Door (ICE),2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Dodge,Durango,"SXT, GT, GT Plus",2026,7500.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,2.49,3.49
Dodge,Durango,"GT Hemi V8 Plus, GT Hemi V8 Premium",2026,9000.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,2.49,3.49
Dodge,Durango,SRT Hellcat,2026,15500.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,2.49,3.49
Dodge,Charger Daytona,R/T (BEV),2025,3000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.99,1.99,2.99
Dodge,Charger Daytona,R/T Plus (BEV),2025,5000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.99,1.99,2.99
Dodge,Charger Daytona,Scat Pack (BEV),2025,7000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.99,1.99,2.99
Dodge,Durango,"GT, GT Plus",2025,8000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.49
Dodge,Durango,"R/T, R/T Plus, R/T 20th Anniversary",2025,9500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.49
Dodge,Durango,SRT Hellcat,2025,16000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.49
Dodge,Hornet,RT (PHEV),2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Dodge,Hornet,RT Plus (PHEV),2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Dodge,Hornet,GT (Gas),2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Dodge,Hornet,GT Plus (Gas),2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Fiat,500e,BEV,2025,6000.0,5000.0,0.0,0.0,1.99,3.49,3.99,4.99,,,,,,
Jeep,Cherokee,Base (KMJL74),2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Jeep,Cherokee,(excluding Base),2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Jeep,Compass,Sport,2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,1.99,3.49
Jeep,Compass,North,2026,3500.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,1.99,3.49
Jeep,Compass,North w/ Altitude Package (ADZ),2026,4000.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,1.99,3.49
Jeep,Compass,Trailhawk,2026,4000.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,1.99,3.49
Jeep,Compass,Limited,2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,1.49,1.99,3.49
Jeep,Gladiator,"Sport S, Willys, Sahara, Willys '41",2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Jeep,Gladiator,"(excl. Sport S, Willys, Sahara, Willys '41)",2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.49,2.49
Jeep,Grand Cherokee/L,Laredo/Laredo X,2026,0.0,0.0,1.99,2.99,3.49,3.99,4.49,4.99,0.0,0.0,0.0,1.49,2.49,3.49
Jeep,Grand Cherokee/L,Altitude,2026,0.0,0.0,1.99,2.99,3.49,3.99,4.49,4.99,,,,,,
Jeep,Grand Cherokee/L,Limited/Limited Reserve/Summit,2026,0.0,0.0,1.99,2.99,3.49,3.99,4.49,4.99,,,,,,
Jeep,Grand Wagoneer/L,,2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.99,1.99,3.99
Jeep,Wrangler,2-Door (JL) non Rubicon,2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Jeep,Wrangler,2-Door Rubicon (JL),2026,0.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Jeep,Wrangler,4-Door (excl. 392 et 4xe),2026,5250.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,2.99
Jeep,Wrangler,4-Door MOAB 392,2026,6000.0,0.0,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,
Jeep,Compass,Sport,2025,5500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.49,2.49
Jeep,Compass,North,2025,7500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.99,1.99,1.99,3.99,4.99
Jeep,Compass,"Altitude, Trailhawk, Trailhawk Elite",2025,4000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.99,1.99,2.49,3.49,3.99,4.99
Jeep,Compass,Limited,2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.49,2.49
Jeep,Gladiator,,2025,11000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,1.99,3.49
Jeep,Grand Cherokee,4xe (WL),2025,4000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.99,1.99,2.49,3.49,3.99,4.99
Jeep,Grand Cherokee,Laredo (WLJH74 2*A),2025,6000.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee,Altitude (WLJH74 2*B),2025,7500.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
Jeep,Grand Cherokee,Summit (WLJT74 23S),2025,0.0,1000.0,4.99,4.99,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,2.99,3.99
